iter	Passed	Remaining
0	0	165
1	1	157
2	1	150
3	2	151
4	2	153
5	3	155
6	3	152
7	4	149
8	4	147
9	5	146
10	5	147
11	6	146
12	6	144
13	6	141
14	7	137
15	7	136
16	8	136
17	8	134
18	9	135
19	9	137
20	10	136
21	10	135
22	11	135
23	11	134
24	12	134
25	12	133
26	13	133
27	13	132
28	14	131
29	14	130
30	15	131
31	15	131
32	16	131
33	16	130
34	17	130
35	17	130
36	18	129
37	18	129
38	19	128
39	19	127
40	20	127
41	20	126
42	21	126
43	21	126
44	22	126
45	22	126
46	23	125
47	23	125
48	24	124
49	24	124
50	25	123
51	25	122
52	26	123
53	26	122
54	27	122
55	28	122
56	28	122
57	29	121
58	29	121
59	30	120
60	30	120
61	31	120
62	31	119
63	32	119
64	32	118
65	33	117
66	33	117
67	34	117
68	34	116
69	35	116
70	35	116
71	36	115
72	36	114
73	37	114
74	38	114
75	38	113
76	39	113
77	39	112
78	40	112
79	40	112
80	41	111
81	41	110
82	42	110
83	42	109
84	43	109
85	43	108
86	44	108
87	44	107
88	45	107
89	45	106
90	46	106
91	46	106
92	47	105
93	48	105
94	48	104
95	48	104
96	49	103
97	49	102
98	50	102
99	51	102
100	51	101
101	52	101
102	52	101
103	53	100
104	53	100
105	54	99
106	54	99
107	55	98
108	56	98
109	56	97
110	57	97
111	57	96
112	58	95
113	58	95
114	59	95
115	59	94
116	60	94
117	60	93
118	61	92
119	61	92
120	62	92
121	62	91
122	63	91
123	63	90
124	64	89
125	64	89
126	65	89
127	66	88
128	66	88
129	67	87
130	67	87
131	68	86
132	68	86
133	69	85
134	69	85
135	70	84
136	70	83
137	71	83
138	71	82
139	72	82
140	72	81
141	73	81
142	73	81
143	74	80
144	74	79
145	75	79
146	75	78
147	76	78
148	76	77
149	77	77
150	77	76
151	78	76
152	78	75
153	79	75
154	79	74
155	80	74
156	80	73
157	81	73
158	81	72
159	82	72
160	82	71
161	83	71
162	84	70
163	84	70
164	85	69
165	85	69
166	86	68
167	86	68
168	87	67
169	87	66
